Month,Sales,MarketingSpend
01-Jan-2022,560,31
01-Feb-2022,590,47
01-Mar-2022,543,36
01-Apr-2022,807,117
01-May-2022,699,52
01-Jun-2022,722,41
01-Jul-2022,721,40
01-Aug-2022,615,28
01-Sep-2022,601,38
01-Oct-2022,588,40
01-Nov-2022,791,122
01-Dec-2022,800,125
01-Jan-2023,579,37
01-Feb-2023,558,24
01-Mar-2023,597,32
01-Apr-2023,831,123
01-May-2023,724,33
01-Jun-2023,767,37
01-Jul-2023,783,50
01-Aug-2023,660,21
01-Sep-2023,612,42
01-Oct-2023,649,61
01-Nov-2023,802,116
01-Dec-2023,755,105
01-Jan-2024,672,62
01-Feb-2024,616,29
01-Mar-2024,652,41
01-Apr-2024,895,119
01-May-2024,801,43
01-Jun-2024,786,40
01-Jul-2024,765,31
01-Aug-2024,740,40
01-Sep-2024,685,33
01-Oct-2024,650,39
01-Nov-2024,797,108
01-Dec-2024,916,129
01-Jan-2025,738,56
01-Feb-2025,646,36
01-Mar-2025,691,41
01-Apr-2025,933,116
01-May-2025,831,38
01-Jun-2025,825,36
01-Jul-2025,835,44
01-Aug-2025,779,33
01-Sep-2025,713,39
01-Oct-2025,688,46
01-Nov-2025,815,101
01-Dec-2025,900,129
