MonthOfYear,LastMonth,SameMonthLastYear,MarketingSpend,Sales
1,800,560,37,579
2,579,590,24,558
3,558,543,32,597
4,597,807,123,831
5,831,699,33,724
6,724,722,37,767
7,767,721,50,783
8,783,615,21,660
9,660,601,42,612
10,612,588,61,649
11,649,791,116,802
12,802,800,105,755
1,755,579,62,672
2,672,558,29,616
3,616,597,41,652
4,652,831,119,895
5,895,724,43,801
6,801,767,40,786
7,786,783,31,765
8,765,660,40,740
9,740,612,33,685
10,685,649,39,650
11,650,802,108,797
12,797,755,129,916
1,916,672,56,738
2,738,616,36,646
3,646,652,41,691
4,691,895,116,933
5,933,801,38,831
6,831,786,36,825
7,825,765,44,835
8,835,740,33,779
9,779,685,39,713
10,713,650,46,688
11,688,797,101,815
12,815,916,129,900
